location,location_type,total_jobs_added_2008_2018,jobs_per_1_000_residents_2008_2018,total_building_permits_2008_2018,permits_per_1_000_residents_2008_2018,jobs_per_permit_2008_2018,multi_family_permit_share_1990_2005,multi_family_permit_share_2006_2018,average_size_of_multi_family_properties_1990_2005,average_size_of_multi_family_properties_2006_2018
"Washington County, OH",County,-169,-0.3,153,0.3,-1.1,30.9%,25.3%,3.7,2.9
"Wayne County, OH",County,2822,2.4,1775,1.5,1.6,21.7%,16.3%,4,3.8
"Wood County, OH",County,6614,5.1,2577,2,2.6,42.8%,27.4%,7,8.3
"Bryan County, OK",County,2633,5.8,938,2.1,2.8,27.9%,49.6%,3.7,4.3
"Canadian County, OK",County,10227,7.7,2527,1.9,4,13.5%,9.5%,7.9,3.4
"Carter County, OK",County,791,1.6,983,2,0.8,31.5%,4.6%,6.5,2.8
"Cherokee County, OK",County,317,0.7,715,1.5,0.4,56.2%,40.2%,8.9,4.9
"Cleveland County, OK",County,9231,3.4,11789,4.3,0.8,17.3%,30.5%,7.4,9.7
"Comanche County, OK",County,-39,0,2165,1.8,0,17.5%,33.6%,8.8,9.1
"Creek County, OK",County,1063,1.5,1218,1.7,0.9,8.2%,16.1%,6.9,11
"Custer County, OK",County,1379,4.7,643,2.2,2.1,10.2%,21.6%,4.9,6.8
"Garfield County, OK",County,-1002,-1.6,575,0.9,-1.7,35.1%,9.7%,6.9,8.5
"Grady County, OK",County,117,0.2,850,1.6,0.1,10.6%,5.9%,6,3.6
"Jackson County, OK",County,-972,-3.8,298,1.2,-3.3,0.0%,0.9%,NA,2
"Kay County, OK",County,-3733,-8.3,215,0.5,-17.4,21.7%,44.3%,4.7,4.5
"Lincoln County, OK",County,-1064,-3.1,116,0.3,-9.2,10.6%,18.5%,3.5,3.9
"Logan County, OK",County,654,1.4,286,0.6,2.3,22.3%,15.0%,9.6,2.9
"McClain County, OK",County,1918,5.1,2461,6.5,0.8,6.1%,2.0%,5.7,4.4
"Muskogee County, OK",County,103,0.1,325,0.5,0.3,18.0%,6.6%,5.4,4.3
"Oklahoma County, OK",County,32271,4.2,38164,4.9,0.8,14.9%,8.8%,9.3,6.6
"Okmulgee County, OK",County,-1018,-2.6,39,0.1,-26.1,15.7%,9.6%,7.2,2.5
"Osage County, OK",County,186,0.4,1229,2.6,0.2,12.5%,6.2%,7,3.1
"Ottawa County, OK",County,455,1.4,97,0.3,4.7,27.3%,9.3%,4.1,2
"Payne County, OK",County,925,1.1,3210,4,0.3,39.5%,59.4%,4.1,10.2
"Pittsburg County, OK",County,-1611,-3.6,569,1.3,-2.8,14.0%,36.3%,4.6,4.3
"Pontotoc County, OK",County,634,1.7,453,1.2,1.4,18.3%,51.6%,2.1,4.5
"Pottawatomie County, OK",County,813,1.1,1224,1.7,0.7,30.0%,21.0%,11,5.2
"Rogers County, OK",County,1425,1.6,4034,4.5,0.4,4.5%,7.5%,2.1,6.3
"Stephens County, OK",County,-1698,-3.8,328,0.7,-5.2,12.3%,0.0%,14,NA
"Tulsa County, OK",County,6757,1.1,26277,4.1,0.3,18.0%,26.3%,12.6,12.8
"Wagoner County, OK",County,1486,1.9,2976,3.9,0.5,5.0%,1.2%,9.3,4.8
"Washington County, OK",County,-1420,-2.7,813,1.6,-1.7,13.1%,18.3%,7.1,8.7
"Benton County, OR",County,2749,3.1,2634,3,1,36.3%,49.2%,7.4,7.7
"Clackamas County, OR",County,16290,4.1,14853,3.7,1.1,27.9%,21.0%,8.3,12.8
"Clatsop County, OR",County,1511,4,1359,3.6,1.1,22.9%,20.3%,5.3,7.3
"Columbia County, OR",County,840,1.7,886,1.8,0.9,13.2%,12.1%,3.4,4.4
"Coos County, OR",County,349,0.6,282,0.4,1.2,33.2%,26.7%,5.5,4.1
"Deschutes County, OR",County,16797,9.6,13199,7.5,1.3,16.7%,12.4%,4.2,7
"Douglas County, OR",County,1176,1.1,1868,1.7,0.6,21.1%,6.6%,4.4,3.8
"Jackson County, OR",County,7834,3.7,6363,3,1.2,19.8%,18.5%,4.9,6.2
"Josephine County, OR",County,3273,3.9,1570,1.9,2.1,22.8%,9.3%,3.3,2.6
"Klamath County, OR",County,15,0,894,1.4,0,21.2%,5.4%,3.6,4.1
"Lane County, OR",County,9018,2.5,9329,2.6,1,31.9%,35.5%,5.6,9.2
"Lincoln County, OR",County,173,0.4,1389,2.9,0.1,23.3%,15.5%,6,6.3
"Linn County, OR",County,3565,2.9,3525,2.9,1,25.2%,21.1%,5,7.2
"Malheur County, OR",County,-73,-0.2,231,0.8,-0.3,32.1%,1.6%,4.9,2
"Marion County, OR",County,15367,4.7,8811,2.7,1.7,33.6%,36.0%,5.8,8.4
"Multnomah County, OR",County,62452,7.9,38231,4.8,1.6,52.5%,76.1%,9.4,25.6
"Polk County, OR",County,2108,2.6,1783,2.2,1.2,25.9%,26.1%,3.8,5.1
"Umatilla County, OR",County,1092,1.4,885,1.2,1.2,33.3%,13.3%,4.8,2.8
"Union County, OR",County,392,1.5,427,1.7,0.9,10.5%,21.3%,2.9,3.3
"Washington County, OR",County,47782,8.4,23438,4.1,2,31.1%,40.1%,9.3,15.9
"Yamhill County, OR",County,3864,3.8,3004,2.9,1.3,29.1%,12.1%,5.6,5.6
"Adams County, PA",County,306,0.3,2351,2.3,0.1,4.4%,2.8%,3.4,5.3
"Allegheny County, PA",County,16739,1.4,19120,1.6,0.9,29.2%,28.4%,9.6,11.6
"Armstrong County, PA",County,-1862,-2.8,407,0.6,-4.6,17.6%,13.3%,3.9,3.4
"Beaver County, PA",County,-3523,-2.1,2169,1.3,-1.6,8.2%,20.3%,3.9,8.7
"Berks County, PA",County,5180,1.2,4231,1,1.2,11.5%,17.3%,7,7.6
"Blair County, PA",County,-1139,-0.9,1172,0.9,-1,19.0%,21.7%,7.9,4.8
"Bradford County, PA",County,1477,2.4,973,1.6,1.5,2.9%,6.4%,4.4,6.3
"Bucks County, PA",County,4464,0.7,7826,1.2,0.6,10.6%,11.7%,9.7,9.8
"Butler County, PA",County,5724,3.1,7601,4.1,0.8,14.4%,28.8%,7.8,14.5
"Cambria County, PA",County,-8004,-5.9,835,0.6,-9.6,5.0%,15.0%,4.9,10.3
"Carbon County, PA",County,-278,-0.4,889,1.4,-0.3,3.2%,5.3%,9.9,9.5
"Centre County, PA",County,2500,1.6,4750,3,0.5,18.7%,26.2%,8.5,8.5
"Chester County, PA",County,7009,1.4,12512,2.4,0.6,10.5%,20.3%,10.9,15.3
"Clearfield County, PA",County,-992,-1.2,990,1.2,-1,8.2%,13.5%,9.8,18.7
"Clinton County, PA",County,287,0.7,342,0.9,0.8,15.7%,2.1%,8.5,6.5
"Columbia County, PA",County,-744,-1.1,1169,1.8,-0.6,8.3%,15.1%,5.3,12.6
"Crawford County, PA",County,-1288,-1.5,654,0.8,-2,8.3%,9.4%,6.8,4.6
"Cumberland County, PA",County,9093,3.7,9269,3.8,1,8.4%,21.0%,6.4,11.3
"Dauphin County, PA",County,1939,0.7,6173,2.3,0.3,21.8%,24.1%,7.3,11.4
"Delaware County, PA",County,14065,2.5,3555,0.6,4,20.1%,11.9%,8.9,12.2
"Erie County, PA",County,-5620,-2,3821,1.4,-1.5,20.6%,35.1%,5.6,9.3
"Fayette County, PA",County,-3214,-2.4,1978,1.5,-1.6,8.0%,6.3%,6.7,5
"Franklin County, PA",County,1035,0.7,3712,2.4,0.3,11.9%,21.4%,3.2,4.8
"Huntingdon County, PA",County,-860,-1.9,628,1.4,-1.4,5.3%,2.7%,8.2,2
"Indiana County, PA",County,-3353,-3.9,1153,1.3,-2.9,36.6%,44.3%,5.4,7.2
"Lackawanna County, PA",County,-3304,-1.6,4839,2.3,-0.7,12.8%,7.0%,3.7,4.5
"Lancaster County, PA",County,13503,2.5,12502,2.3,1.1,18.0%,21.7%,6.2,6.9
"Lawrence County, PA",County,-1902,-2.2,674,0.8,-2.8,20.0%,18.2%,4.9,3.8
"Lebanon County, PA",County,2564,1.9,3269,2.4,0.8,4.5%,7.2%,7.1,6.6
"Lehigh County, PA",County,14858,4.1,5742,1.6,2.6,11.1%,11.6%,10,15.3
"Luzerne County, PA",County,2543,0.8,2845,0.9,0.9,10.4%,14.8%,4.9,7.5
"Lycoming County, PA",County,-627,-0.5,1541,1.3,-0.4,13.7%,18.7%,7.5,5.5
"McKean County, PA",County,-2127,-5.1,231,0.5,-9.2,0.9%,1.2%,4,2
"Mifflin County, PA",County,306,0.7,556,1.2,0.6,7.2%,5.0%,5.8,7.8
"Monroe County, PA",County,-2701,-1.6,2025,1.2,-1.3,4.8%,4.8%,5,7
"Montgomery County, PA",County,7110,0.9,15105,1.8,0.5,14.9%,34.7%,7.1,16.5
"Northampton County, PA",County,16600,5.5,4679,1.6,3.5,15.0%,18.1%,8.2,6.1
"Northumberland County, PA",County,-2515,-2.7,850,0.9,-3,5.9%,3.0%,4.6,3
"Perry County, PA",County,-233,-0.5,809,1.8,-0.3,5.8%,0.2%,5.4,2
"Philadelphia County, PA",County,54121,3.4,25915,1.7,2.1,82.6%,75.1%,16,9
"Schuylkill County, PA",County,-2663,-1.8,1177,0.8,-2.3,16.0%,10.8%,7.5,4.9
"Snyder County, PA",County,541,1.3,654,1.6,0.8,7.3%,5.4%,3.3,3.5
"Somerset County, PA",County,-1669,-2.2,796,1.1,-2.1,15.0%,14.1%,5.2,7.8
"Union County, PA",County,1336,3,617,1.4,2.2,10.0%,6.8%,3.7,3.7
"Venango County, PA",County,-2595,-4.9,403,0.8,-6.4,7.5%,1.9%,11.3,6
"Warren County, PA",County,-758,-1.9,248,0.6,-3.1,5.6%,8.6%,14,12.3
"Washington County, PA",County,7832,3.8,4563,2.2,1.7,13.9%,9.1%,5.1,4.9
"Westmoreland County, PA",County,-2482,-0.7,3975,1.1,-0.6,10.2%,10.1%,3.9,3.2
"Wyoming County, PA",County,46,0.2,419,1.5,0.1,4.0%,1.6%,4.1,2.5
"York County, PA",County,2258,0.5,8829,2,0.3,10.5%,11.8%,4.2,5.6
"Bristol County, RI",County,-1307,-2.7,518,1.1,-2.5,12.3%,30.9%,12.4,5.4
"Kent County, RI",County,-2523,-1.5,1443,0.9,-1.7,17.6%,23.0%,7,4.6
"Newport County, RI",County,1176,1.4,1335,1.6,0.9,10.8%,17.6%,4.3,3.7
"Providence County, RI",County,7910,1.2,3545,0.6,2.2,22.0%,24.7%,4.9,3
"Washington County, RI",County,3838,3,3036,2.4,1.3,8.0%,15.6%,5.6,4.2
"Anderson County, SC",County,5889,3,6443,3.3,0.9,18.5%,11.4%,5.5,8.9
"Beaufort County, SC",County,5589,3.1,10845,6,0.5,18.5%,9.8%,9.4,14.4
"Berkeley County, SC",County,12678,6.2,15454,7.6,0.8,6.2%,16.4%,8.1,25.9
"Charleston County, SC",County,41616,10.7,31078,8,1.3,22.7%,35.4%,9.2,21.1
"Cherokee County, SC",County,1737,3.1,1117,2,1.6,11.5%,19.6%,5.9,14.5
"Darlington County, SC",County,574,0.8,1019,1.5,0.6,4.6%,5.6%,2.9,15.2
"Dorchester County, SC",County,5397,3.6,7297,4.8,0.7,15.6%,12.8%,11.4,17.5
"Florence County, SC",County,2488,1.8,3801,2.7,0.7,18.9%,22.0%,6,7.1
"Georgetown County, SC",County,-977,-1.6,2808,4.6,-0.3,25.4%,14.0%,7.7,9.4
"Greenville County, SC",County,33632,6.9,27722,5.7,1.2,13.0%,19.3%,7.7,18.5
"Greenwood County, SC",County,-686,-1,1121,1.6,-0.6,27.2%,20.7%,4.9,4.8
"Horry County, SC",County,15659,5,31640,10.2,0.5,45.3%,19.6%,11.9,12.1
"Jasper County, SC",County,1769,6.4,2362,8.6,0.7,4.7%,27.8%,5,10.9
"Kershaw County, SC",County,236,0.4,2669,4.2,0.1,8.1%,4.1%,8.8,10.9
"Laurens County, SC",County,4572,6.9,1109,1.7,4.1,4.7%,10.5%,4.6,9.6
"Lexington County, SC",County,21553,7.6,16762,5.9,1.3,9.3%,12.0%,10.5,16.9
"Marlboro County, SC",County,-494,-1.8,145,0.5,-3.4,12.6%,30.0%,6.7,5.1
"Newberry County, SC",County,170,0.4,791,2.1,0.2,0.2%,7.2%,4,7.1
"Oconee County, SC",County,1793,2.4,2946,3.9,0.6,11.6%,11.4%,8.6,10.3
"Orangeburg County, SC",County,-4987,-5.6,808,0.9,-6.2,21.6%,27.2%,4.6,5
"Pickens County, SC",County,-562,-0.5,5108,4.2,-0.1,20.2%,29.6%,9,16.8
"Richland County, SC",County,7548,1.9,19222,4.7,0.4,20.3%,25.3%,11.5,16.5
"Spartanburg County, SC",County,22324,7.5,12995,4.4,1.7,11.3%,1.6%,6.8,12.7
"Sumter County, SC",County,996,0.9,3277,3.1,0.3,14.9%,15.9%,2.9,10
"Union County, SC",County,896,3.2,185,0.7,4.8,21.3%,0.0%,11.3,NA
"Brookings County, SD",County,1248,3.7,2241,6.7,0.6,38.7%,40.1%,6,7.3
"Brown County, SD",County,477,1.2,1897,4.9,0.3,31.0%,43.7%,7.7,14.3
"Codington County, SD",County,320,1.1,1158,4.1,0.3,20.6%,31.7%,5.1,7.3
"Lawrence County, SD",County,134,0.5,1832,7.3,0.1,22.9%,14.7%,8.2,6.3
"Lincoln County, SD",County,9654,18.2,1932,3.6,5,8.5%,30.1%,4.7,5.9
"Meade County, SD",County,315,1.2,1203,4.4,0.3,33.2%,8.0%,4.1,7
"Minnehaha County, SD",County,10741,5.8,18105,9.9,0.6,31.5%,44.9%,11.1,12
"Pennington County, SD",County,3985,3.7,5579,5.2,0.7,27.4%,35.7%,9.1,12
"Anderson County, TN",County,2255,3,1254,1.7,1.8,5.5%,9.6%,4.8,7.2
"Bedford County, TN",County,-1172,-2.5,1538,3.3,-0.8,10.3%,10.6%,5.2,8.4
"Blount County, TN",County,6080,4.8,5051,4,1.2,13.7%,20.6%,4.7,12.4
"Bradley County, TN",County,7022,6.8,4009,3.9,1.8,21.6%,30.0%,3.9,4.7
"Campbell County, TN",County,114,0.3,1801,4.5,0.1,24.8%,3.4%,4.7,6.5
"Carter County, TN",County,538,1,1048,1.9,0.5,22.0%,8.2%,5.4,3.7
"Cheatham County, TN",County,174,0.4,1473,3.7,0.1,11.9%,11.0%,5.3,18.2
"Cocke County, TN",County,-302,-0.9,18,0.1,-16.8,67.3%,0.0%,7,NA
"Coffee County, TN",County,2697,5,1522,2.8,1.8,16.3%,7.6%,3.5,2.8
"Cumberland County, TN",County,1572,2.7,2712,4.7,0.6,32.9%,11.5%,4.1,4.8
"Davidson County, TN",County,59065,8.7,49755,7.3,1.2,28.1%,47.0%,9.3,36.1
"Dickson County, TN",County,3286,6.4,1908,3.7,1.7,17.9%,6.1%,4.8,4.9
"Dyer County, TN",County,-2215,-5.9,602,1.6,-3.7,12.7%,2.9%,3.7,2
"Fayette County, TN",County,806,2,2274,5.8,0.4,2.6%,2.4%,5.2,18.6
"Franklin County, TN",County,2269,5.5,1323,3.2,1.7,8.5%,8.0%,2.2,2.3
"Greene County, TN",County,-557,-0.8,1265,1.8,-0.4,11.3%,8.1%,3.7,5.4
"Hamblen County, TN",County,-94,-0.1,862,1.4,-0.1,24.4%,4.1%,3.4,2.2
"Hamilton County, TN",County,13464,3.8,14908,4.2,0.9,13.6%,27.0%,5.3,12.6
"Hawkins County, TN",County,1323,2.3,541,1,2.4,12.8%,2.2%,6.2,4.3
"Henry County, TN",County,911,2.8,152,0.5,6,36.0%,19.0%,6.2,2
"Jefferson County, TN",County,1024,1.9,1176,2.2,0.9,14.8%,5.6%,4.5,3.4
"Knox County, TN",County,9985,2.2,17512,3.9,0.6,16.8%,26.7%,7.4,19.6
"Lawrence County, TN",County,185,0.4,83,0.2,2.2,43.3%,51.3%,3.6,3.7
"Loudon County, TN",County,1154,2.3,2414,4.7,0.5,5.4%,2.6%,2.8,10.2
"McMinn County, TN",County,1136,2.2,141,0.3,8.1,30.9%,6.3%,6,2.9
"Madison County, TN",County,4215,4.3,2555,2.6,1.6,14.5%,17.5%,7,8.5
"Marion County, TN",County,369,1.3,831,2.9,0.4,4.3%,0.7%,3.3,2.7
"Marshall County, TN",County,1428,4.5,1051,3.3,1.4,15.2%,0.4%,5.9,2
"Maury County, TN",County,4608,5.3,8304,9.5,0.6,6.9%,4.2%,4.9,8.2
"Montgomery County, TN",County,10462,5.4,16191,8.4,0.6,21.0%,25.4%,5.5,6
"Obion County, TN",County,-2243,-7.3,240,0.8,-9.3,10.0%,19.9%,3.1,9
"Putnam County, TN",County,4595,6.1,4247,5.6,1.1,39.2%,33.4%,4.7,6.2
"Rhea County, TN",County,117,0.4,651,2,0.2,1.1%,7.0%,2.8,3.3
"Roane County, TN",County,-505,-1,197,0.4,-2.6,10.3%,17.7%,3.8,7.6
"Robertson County, TN",County,4384,6.4,2814,4.1,1.6,6.9%,8.2%,6.3,10.4
"Rutherford County, TN",County,31371,10.5,24765,8.3,1.3,18.1%,28.9%,9.9,15.4
"Sevier County, TN",County,8681,9.1,3399,3.6,2.6,45.9%,38.8%,8.9,11.6
"Shelby County, TN",County,-353,0,18461,2,0,21.0%,43.8%,12.8,18.3
"Sullivan County, TN",County,-1605,-1,3829,2.4,-0.4,10.7%,30.2%,6.5,10
"Sumner County, TN",County,11829,6.7,10227,5.8,1.2,14.7%,12.9%,8.5,17.3
"Tipton County, TN",County,-121,-0.2,1406,2.3,-0.1,3.7%,10.8%,4.3,14.4
"Warren County, TN",County,-32,-0.1,498,1.2,-0.1,40.2%,17.0%,4.3,4.2
"Washington County, TN",County,18,0,5206,4.1,0,27.1%,28.1%,7.2,11.5
"Weakley County, TN",County,947,2.8,423,1.3,2.2,35.2%,4.8%,3.2,2.3
"Williamson County, TN",County,47953,22.6,16943,8,2.8,6.3%,18.6%,9.9,25.1
"Wilson County, TN",County,11387,8.8,11900,9.2,1,9.8%,20.5%,4.8,12.1
"Anderson County, TX",County,2453,4.2,120,0.2,20.4,32.0%,19.3%,3.9,12.4
"Angelina County, TX",County,-1401,-1.6,1046,1.2,-1.3,8.5%,31.9%,5.8,13.8
"Atascosa County, TX",County,3938,8.2,488,1,8.1,11.1%,2.5%,2.7,2.3
"Austin County, TX",County,-1998,-6.8,252,0.9,-7.9,3.4%,7.8%,2.5,2.6
"Bastrop County, TX",County,4566,5.7,1055,1.3,4.3,14.8%,18.7%,3.7,4.6
"Bee County, TX",County,651,2,75,0.2,8.7,75.5%,5.8%,7.2,2
"Bell County, TX",County,15344,4.6,21078,6.3,0.7,23.5%,20.9%,3.8,3.5
"Bexar County, TX",County,136045,7.2,56323,3,2.4,29.2%,42.1%,13.2,15.2
"Bowie County, TX",County,-2334,-2.5,1666,1.8,-1.4,22.0%,52.9%,3,11.6
"Brazoria County, TX",County,25532,7.4,26935,7.8,0.9,11.8%,13.8%,14.3,14.9
"Brazos County, TX",County,20754,9.7,17709,8.3,1.2,42.8%,51.5%,6.4,11.3
"Brown County, TX",County,145,0.4,824,2.2,0.2,52.0%,37.2%,5.3,7.4
"Caldwell County, TX",County,2180,5.4,1632,4,1.3,19.3%,19.8%,5.1,7.2
"Cameron County, TX",County,14361,3.4,12919,3.1,1.1,16.5%,14.4%,4.9,4.5
"Chambers County, TX",County,5245,13.4,3566,9.1,1.5,0.1%,3.2%,2,16.9
"Cherokee County, TX",County,-524,-1,199,0.4,-2.6,21.0%,45.8%,2.2,5.3
"Collin County, TX",County,120370,13.2,100243,11,1.2,20.1%,31.9%,15,38.1
"Comal County, TX",County,17790,13.8,18618,14.4,1,9.5%,13.8%,5.7,6.9
"Cooke County, TX",County,-1711,-4.4,384,1,-4.5,10.1%,24.3%,2.3,11.8
"Coryell County, TX",County,551,0.7,2068,2.7,0.3,27.1%,27.2%,3.5,3.8
"Dallas County, TX",County,218550,8.6,136543,5.3,1.6,41.0%,67.3%,18.4,36.9
"Denton County, TX",County,77332,9.9,51266,6.6,1.5,22.3%,26.1%,16.5,17.3
"Ector County, TX",County,16315,10.5,6815,4.4,2.4,15.1%,34.3%,17.1,17.7
"Ellis County, TX",County,12699,7.7,11961,7.3,1.1,12.9%,10.0%,6.7,11.4
"El Paso County, TX",County,34911,4.2,36626,4.4,1,15.4%,27.2%,6.1,8.1
"Erath County, TX",County,1574,3.8,1493,3.6,1.1,36.3%,73.4%,7.7,10.3
"Fort Bend County, TX",County,60063,8.4,77485,10.9,0.8,17.0%,6.3%,16.4,12.3
"Galveston County, TX",County,13632,4.2,21446,6.7,0.6,10.9%,6.8%,11.2,11.5
"Gillespie County, TX",County,1724,6.6,438,1.7,3.9,31.5%,24.9%,5,6.4
"Grayson County, TX",County,3981,3.2,3896,3.1,1,29.1%,33.1%,6,8.1
"Gregg County, TX",County,-714,-0.6,3592,2.9,-0.2,19.7%,40.7%,9.7,7.9
"Guadalupe County, TX",County,11721,7.8,9352,6.2,1.3,4.4%,5.6%,11.4,16.2
"Hale County, TX",County,-2344,-6.8,123,0.4,-19.1,20.8%,0.0%,3.7,NA
"Hardin County, TX",County,534,1,1713,3.1,0.3,6.5%,6.9%,13.3,35.8
"Harris County, TX",County,248619,5.5,258334,5.7,1,31.3%,40.3%,14.8,25.2
"Harrison County, TX",County,-62,-0.1,669,1,-0.1,15.3%,32.3%,6.2,6.7
"Hays County, TX",County,23381,12,26569,13.6,0.9,34.9%,32.3%,11.5,12
"Henderson County, TX",County,960,1.2,835,1,1.1,6.1%,10.8%,2.3,5.8
"Hidalgo County, TX",County,42013,5,37885,4.5,1.1,17.1%,22.2%,4.3,4.8
"Hood County, TX",County,3282,5.9,1474,2.7,2.2,37.1%,12.7%,8.8,8
"Hopkins County, TX",County,845,2.4,332,0.9,2.5,0.0%,56.8%,NA,5.5
"Howard County, TX",County,357,1,285,0.8,1.3,55.3%,17.8%,7.5,22.3
"Hunt County, TX",County,525,0.6,1088,1.2,0.5,43.9%,18.0%,9.8,5.3
"Jefferson County, TX",County,-2457,-1,8151,3.2,-0.3,17.8%,39.6%,8.9,10.6
"Jim Wells County, TX",County,-1869,-4.5,191,0.5,-9.8,13.4%,15.3%,8.2,6.2
"Johnson County, TX",County,6131,3.8,7153,4.5,0.9,7.0%,15.8%,5.3,14
"Kaufman County, TX",County,4752,4.1,4603,4,1,17.5%,20.0%,6.8,18.9
"Kendall County, TX",County,5586,13.9,2852,7.1,2,11.5%,9.8%,7.7,9.2
"Kerr County, TX",County,62,0.1,709,1.4,0.1,13.2%,26.9%,4.6,10.5
"Kleberg County, TX",County,-1184,-3.8,675,2.1,-1.8,0.0%,58.4%,NA,32.3
"Lamar County, TX",County,1152,2.3,407,0.8,2.8,32.1%,26.0%,3.2,2.7
"Liberty County, TX",County,384,0.5,3436,4.3,0.1,8.2%,2.2%,4.6,3.4
"Lubbock County, TX",County,15480,5.2,17965,6,0.9,35.5%,39.5%,5.5,10.3
"McLennan County, TX",County,10133,4.1,9735,4,1,32.6%,36.4%,5.7,8.2
"Matagorda County, TX",County,-173,-0.5,1101,3,-0.2,11.1%,0.8%,6.6,12
"Maverick County, TX",County,2157,3.8,1181,2.1,1.8,21.0%,25.0%,4.7,6.4
"Medina County, TX",County,1461,3,281,0.6,5.2,20.3%,16.7%,4.8,4.8
"Midland County, TX",County,34720,21.7,9329,5.8,3.7,0.1%,22.6%,2,19.7
"Montgomery County, TX",County,60188,11.2,53170,9.9,1.1,12.0%,20.0%,12.8,18.3
"Nacogdoches County, TX",County,-606,-0.9,772,1.2,-0.8,43.4%,64.1%,11.4,12.4
"Navarro County, TX",County,1053,2.2,917,1.9,1.1,5.1%,19.0%,2.2,8.3
"Nueces County, TX",County,8283,2.3,13144,3.7,0.6,24.0%,24.8%,6.9,11.5
"Orange County, TX",County,-551,-0.7,3283,3.9,-0.2,4.4%,21.8%,8.8,6
"Palo Pinto County, TX",County,72,0.3,166,0.6,0.4,2.4%,39.4%,2,16
"Parker County, TX",County,7277,5.8,3894,3.1,1.9,13.0%,16.9%,4.3,5.2
"Potter County, TX",County,363,0.3,7880,6.5,0,21.1%,33.1%,15.2,11.8
"Randall County, TX",County,2984,2.3,922,0.7,3.2,10.9%,45.6%,3,10
"Rockwall County, TX",County,10692,11.8,9975,11,1.1,6.5%,9.4%,16.6,16.2
"Rusk County, TX",County,-1052,-2,50,0.1,-21,39.8%,13.8%,7.6,3
"San Patricio County, TX",County,466,0.7,2851,4.3,0.2,31.5%,22.0%,5.5,10.9
"Smith County, TX",County,9090,4.1,4241,1.9,2.1,19.0%,20.5%,5.4,4.1
"Tarrant County, TX",County,128060,6.5,90237,4.5,1.4,20.7%,34.8%,12.7,19.9
"Taylor County, TX",County,3441,2.5,3240,2.4,1.1,27.1%,16.4%,6.4,6.6
"Titus County, TX",County,-1000,-3.1,271,0.8,-3.7,27.9%,51.2%,4.4,9.5
"Tom Green County, TX",County,3113,2.7,3265,2.8,1,15.7%,28.3%,7.2,17.4
"Travis County, TX",County,170967,14.5,118051,10,1.4,41.8%,50.7%,13,21
"Upshur County, TX",County,302,0.7,157,0.4,1.9,18.0%,51.7%,4.2,5.3
"Uvalde County, TX",County,457,1.7,371,1.4,1.2,16.6%,42.1%,3.5,7.8
"Val Verde County, TX",County,502,1,678,1.4,0.7,12.2%,16.2%,3.4,7.4
"Victoria County, TX",County,-224,-0.2,1943,2.1,-0.1,22.5%,46.5%,5.7,12.5
"Walker County, TX",County,1764,2.5,2380,3.4,0.7,35.6%,59.5%,10.2,16.2
"Waller County, TX",County,3740,7.7,1089,2.2,3.4,77.2%,79.9%,8.3,7.9
"Washington County, TX",County,352,1,948,2.7,0.4,45.7%,31.2%,4.2,15.6
"Webb County, TX",County,12626,4.7,12965,4.8,1,26.3%,30.4%,9.4,13.1
"Wharton County, TX",County,638,1.5,487,1.2,1.3,44.1%,3.5%,4.4,4.4
"Wichita County, TX",County,-1050,-0.8,1759,1.3,-0.6,28.8%,41.2%,6.8,8.6
"Williamson County, TX",County,51394,10.1,41806,8.2,1.2,15.2%,25.2%,11.3,20.8
"Wilson County, TX",County,1990,4.2,539,1.1,3.7,22.6%,24.9%,4.1,4.8
"Wise County, TX",County,-156,-0.2,550,0.9,-0.3,5.6%,7.1%,2.4,2.2
"Box Elder County, UT",County,502,1,2262,4.3,0.2,10.4%,17.7%,4,7
"Cache County, UT",County,8239,6.8,7637,6.3,1.1,29.8%,37.2%,5.2,7.2
"Davis County, UT",County,26942,8,15935,4.8,1.7,11.9%,20.5%,5.8,10.1
"Iron County, UT",County,2452,5.1,2511,5.2,1,26.7%,25.2%,4.5,2.9
"Salt Lake County, UT",County,113271,10.2,52447,4.7,2.2,24.9%,41.5%,9.1,15.2
"Summit County, UT",County,4665,11.7,2662,6.7,1.8,27.6%,37.4%,6.6,10.6
"Tooele County, UT",County,597,0.9,3945,6.2,0.2,6.5%,6.8%,5.3,9.9
"Uintah County, UT",County,-2457,-6.8,1947,5.4,-1.3,5.6%,20.9%,5.3,8.1
"Utah County, UT",County,69666,12.1,40132,7,1.7,23.1%,23.8%,5.9,10.1
"Wasatch County, UT",County,2845,9.7,3939,13.4,0.7,15.1%,16.2%,4.2,8.6
"Washington County, UT",County,16635,10.7,17241,11.1,1,11.7%,10.8%,4.6,7.7
"Weber County, UT",County,11871,4.9,9077,3.7,1.3,14.4%,27.2%,5.7,7.6
"Bennington County, VT",County,-866,-2.4,461,1.3,-1.9,14.0%,18.3%,2.8,2.2
"Chittenden County, VT",County,7620,4.7,6064,3.8,1.3,26.9%,59.7%,6.1,9.1
"Franklin County, VT",County,1335,2.7,1514,3.1,0.9,13.8%,22.1%,4.4,3.9
"Rutland County, VT",County,-2243,-3.8,458,0.8,-4.9,9.8%,1.9%,5.9,2
"Washington County, VT",County,563,1,1258,2.1,0.4,5.0%,14.4%,4,3.8
"Albemarle County, VA",County,6496,6.2,5860,5.6,1.1,37.4%,24.2%,7.2,18.2
